STR_NUMBER,COMPLEX_ID,STR_NAME,INSTALL_DA,REMOVAL_DA,geometry
1,10321,11,1988-01-01,1991-08-02,POINT (-96.263157890625 28.245689249999998)
2,10225,C-QRT,1985-01-01,2020-11-11,POINT (-96.38139389062502 28.10143840937502)
1,10155,A,1980-01-01,2000-09-24,POINT (-96.17468600000001 28.308696999999995)
1,10170,A,1981-01-01,,POINT (-96.57157687968748 28.06623645000002)
1,10193,B,1981-01-01,2010-12-16,POINT (-96.60119500000002 27.72230000000002)
1,23771,A,1992-09-13,1997-02-09,POINT (-93.26057600000001 29.139238999999975)
1,23708,1,1989-01-01,1994-05-05,POINT (-93.07038299999999 28.307338000000016)
1,23713,BJ,1989-01-01,1996-06-20,POINT (-93.02326799999997 28.638863000000015)
1,23665,A (REMOVED),1988-01-01,1997-11-26,POINT (-93.471318 28.86330700000002)
1,23678,A,1988-01-01,1996-07-28,POINT (-93.20355165937502 29.529741709375003)
1,23694,9,1988-01-01,2007-08-24,POINT (-93.27905399999997 29.44754899999998)
1,22787,1,1983-01-01,2005-05-23,POINT (-93.01852400000001 28.803038000000015)
1,22324,2,1980-01-01,2006-05-22,POINT (-93.24216200000001 29.36375399999997)
1,22366,A,1980-01-01,2011-05-17,POINT (-93.32594057031253 28.70560025937499)
1,22393,5,1977-01-01,1995-09-25,POINT (-93.193693 29.40863999999999)
1,21975,A,1976-01-01,1993-07-16,POINT (-93.317229 28.057945000000018)
1,22021,JA,1977-01-01,,POINT (-93.172415 29.62754799999999)
1,21754,A,1974-01-01,,POINT (-93.07549399999999 28.48119600000001)
1,21791,A,1974-01-01,1991-10-12,POINT (-93.17575699999998 28.53135900000001)
1,21226,A,1960-01-01,2016-10-25,POINT (-93.18253700000002 29.36573199999998)
1,21268,I,1965-01-01,1984-12-31,POINT (-93.04863899999998 29.67069300000003)
2,20595,5-AUX,1965-01-01,1991-12-01,POINT (-93.73253999999997 29.66812900000002)
2,20616,6-AUX,1965-01-01,2007-11-09,POINT (-93.71694600000001 29.685519)
1,20211,4,1971-01-01,1983-12-31,POINT (-93.07594799999998 29.28874300000001)
1,20497,1,1960-01-01,2004-08-26,POINT (-93.562048 29.370679999999993)
1,10565,1,1992-07-23,1995-09-15,POINT (-94.66040400000003 29.019315000000006)
1,10530,4,1991-01-01,2008-08-17,POINT (-95.39831099999998 28.63623899999999)
1,10536,A,1991-01-01,1995-06-27,POINT (-95.26451700000001 28.48193500000002)
1,10542,3,1991-01-01,2007-07-21,POINT (-94.26080100000001 28.815855999999997)
1,10510,3,1990-01-01,2003-09-10,POINT (-95.4586666796875 28.630623240625027)
1,10438,2,1986-01-01,1999-07-19,POINT (-94.47030899999999 29.344945999999993)
1,10449,1,1987-01-01,2005-09-18,POINT (-93.759683 29.252651000000014)
1,10277,A,1985-01-01,2005-05-21,POINT (-94.64058799999998 29.114258000000007)
1,10239,JB,1983-01-01,1986-12-31,POINT (-95.707873 28.149208999999985)
1,10171,A,1981-01-01,2015-06-26,POINT (-95.715465 28.127085000000022)
1,10135,A,1979-10-31,,POINT (-93.52504199999998 28.00138099999998)
1,10144,C,1980-01-01,,POINT (-94.39756699999998 27.94633299999998)
1,10070,5,1976-01-01,,POINT (-93.7846613703125 29.271741340625)
1,10075,A,1976-01-01,,POINT (-96.03641800000003 27.854495999999983)
1,10046,3,1964-01-01,1986-12-31,POINT (-94.10416700000002 29.264530999999977)
1,10053,3,1967-01-01,1984-12-31,POINT (-94.70831199999998 28.851640999999972)
1,24030,A,1992-05-25,,POINT (-92.48889200000002 28.902762999999993)
1,24036,A,1993-06-29,1999-08-07,POINT (-92.41750400000001 28.51320199999998)
1,24044,172,1992-11-15,1998-11-04,POINT (-92.024403 29.41051299999998)
